alpha,arousal1,betha,theta,gamma,valence1
4.8,0.208,3.31,5.79,1.98,-0.016
4.36,0.229,3.54,5.29,2.04,-0.0276
3.91,0.256,3.75,5.2,2.14,-0.0351
3.86,0.259,3.68,5.1,2.12,-0.0354
3.81,0.263,3.73,4.97,2.22,-0.0358
3.79,0.264,3.73,4.92,2.38,-0.0343
3.81,0.263,3.77,4.91,2.64,-0.0371
3.8,0.263,3.76,4.88,2.76,-0.0364
3.72,0.269,3.77,4.65,2.78,-0.0331
3.31,0.302,3.8,4.12,2.89,-0.0307
2.56,0.39,3.84,3.81,2.92,-0.0195
2.2,0.455,3.75,3.97,2.96,0.0314
2.4,0.417,3.67,4.15,2.98,0.00682
2.77,0.361,3.5,4.17,3.04,-0.0567
3.3,0.303,3.49,4.28,3.03,-0.0586
3.48,0.287,3.46,4.43,2.98,-0.0459
3.45,0.29,3.53,4.42,2.94,-0.0403
3.49,0.286,3.6,4.47,2.84,-0.0345
3.51,0.285,3.64,4.65,2.86,-0.0373
3.55,0.281,3.63,4.71,2.9,-0.0533
3.7,0.27,3.77,4.75,2.88,-0.0652
3.74,0.267,3.81,4.78,2.89,-0.0659
3.71,0.269,3.85,4.77,2.93,-0.0615
3.66,0.273,3.88,4.89,2.91,-0.0536
3.42,0.292,3.82,5.16,3.25,-0.0509
3.03,0.33,3.93,5.18,3.3,-0.0603
3.18,0.315,6.74,5.24,5.55,-0.0413
6.24,0.16,8.17,7.76,5.84,0.00438
7.81,0.128,8.3,9.33,5.84,0.00191
8.24,0.121,8.32,9.86,5.9,0.000724
8.28,0.121,8.37,9.94,5.9,0.000328
8.35,0.12,8.38,9.98,5.91,0.00113
8.49,0.118,8.66,10,8.15,0.00201
8.6,0.116,10.3,10.2,8.59,0.00211
9.13,0.109,10.3,10.9,8.59,0.000493
9.72,0.103,10.3,11.3,8.59,-0.000022
9.89,0.101,10.3,11.4,8.58,0.000024
9.89,0.101,10.3,11.5,8.54,0.000005
9.87,0.101,10.2,11.5,8.53,-0.000113
9.77,0.102,10.2,11.4,8.53,-0.000227
9.71,0.103,10.2,11.3,8.52,-0.000137
9.71,0.103,10.2,11.3,8.52,-0.000161
9.68,0.103,10.2,11.3,8.52,-0.000373
9.64,0.104,9.63,11.3,4.7,-0.000613
9.56,0.105,6.5,11.1,3.36,-0.000664
8.94,0.112,4.75,10.5,3.24,-0.000299
7.46,0.134,4.78,9.43,3.57,-0.000331
6.72,0.149,4.85,8.69,3.56,-0.0027
6.45,0.155,4.85,8.34,3.48,-0.00203
5.88,0.17,4.84,7.68,3.4,0.000001
5.39,0.186,4.87,6.98,3.47,0.00825
5.27,0.19,4.86,6.47,3.48,0.00786
5.16,0.194,4.88,6.2,3.48,0.00223
5.14,0.194,4.97,6.01,3.49,0.00197
5.09,0.197,5.02,5.81,3.55,-0.000301
5.09,0.197,5.04,5.69,3.52,-0.00291
5.1,0.196,4.97,5.62,3.3,-0.00412
5,0.2,4.3,5.47,3.17,-0.00844
4.56,0.219,4.17,4.98,3.15,-0.0207
3.85,0.26,4.14,4.6,3.6,-0.0569
3.4,0.295,4.21,4.66,3.61,-0.13
3.57,0.28,4.33,4.9,3.58,-0.13
3.58,0.279,4.34,5.11,3.55,-0.128
3.55,0.282,4.32,5.16,3.56,-0.111
3.64,0.275,4.13,5.21,3.53,-0.0956
3.63,0.275,4.1,5.24,3.43,-0.1
3.5,0.286,4.01,5.22,3.38,-0.107
3.4,0.294,4.02,5.2,3.39,-0.106
3.32,0.301,4.05,5.18,3.4,-0.0996
3.27,0.306,4.1,5.17,3.43,-0.091
3.31,0.302,4.02,5.16,3.2,-0.0772
3.66,0.273,4.6,5.16,3.31,-0.05
4.26,0.235,4.57,5.18,3.37,-0.0222
4.63,0.216,4.65,5.03,3.38,-0.0118
4.7,0.213,4.61,4.87,3.4,-0.00987
